Strain,PlantNumber,Branch,Week,Score
PBS,1,1,1,0
PBS,1,1,2,0
PBS,1,1,3,0
PBS,1,1,4,0
PBS,1,1,5,0
PBS,1,1,6,0
PBS,1,1,7,0
PBS,1,1,8,0
PBS,1,1,9,0
PBS,2,1,1,0
PBS,2,1,2,0
PBS,2,1,3,0
PBS,2,1,4,0
PBS,2,1,5,0
PBS,2,1,6,0
PBS,2,1,7,0
PBS,2,1,8,0
PBS,2,1,9,0
PBS,3,1,1,0
PBS,3,1,2,0
PBS,3,1,3,0
PBS,3,1,4,0
PBS,3,1,5,0
PBS,3,1,6,1
PBS,3,1,7,1
PBS,3,1,8,1
PBS,3,1,9,1
PBS,4,1,1,0
PBS,4,1,2,0
PBS,4,1,3,0
PBS,4,1,4,0
PBS,4,1,5,0
PBS,4,1,6,0
PBS,4,1,7,0
PBS,4,1,8,0
PBS,4,1,9,0
PBS,5,1,1,0
PBS,5,1,2,0
PBS,5,1,3,0
PBS,5,1,4,0
PBS,5,1,5,0
PBS,5,1,6,0
PBS,5,1,7,0
PBS,5,1,8,0
PBS,5,1,9,0
AlmaEm3,1,1,1,1
AlmaEm3,1,1,2,3
AlmaEm3,1,1,3,4
AlmaEm3,1,1,4,5
AlmaEm3,1,1,5,6
AlmaEm3,1,1,6,6
AlmaEm3,1,1,7,6
AlmaEm3,1,1,8,7
AlmaEm3,1,1,9,7
AlmaEm3,2,1,1,2
AlmaEm3,2,1,2,3
AlmaEm3,2,1,3,4
AlmaEm3,2,1,4,4
AlmaEm3,2,1,5,5
AlmaEm3,2,1,6,4
AlmaEm3,2,1,7,5
AlmaEm3,2,1,8,6
AlmaEm3,2,1,9,7
AlmaEm3,3,1,1,1
AlmaEm3,3,1,2,3
AlmaEm3,3,1,3,3
AlmaEm3,3,1,4,5
AlmaEm3,3,1,5,6
AlmaEm3,3,1,6,6
AlmaEm3,3,1,7,6
AlmaEm3,3,1,8,7
AlmaEm3,3,1,9,7
AlmaEm3,4,1,1,1
AlmaEm3,4,1,2,2
AlmaEm3,4,1,3,4
AlmaEm3,4,1,4,5
AlmaEm3,4,1,5,6
AlmaEm3,4,1,6,6
AlmaEm3,4,1,7,6
AlmaEm3,4,1,8,7
AlmaEm3,4,1,9,7
AlmaEm3,5,1,1,2
AlmaEm3,5,1,2,3
AlmaEm3,5,1,3,4
AlmaEm3,5,1,4,5
AlmaEm3,5,1,5,6
AlmaEm3,5,1,6,6
AlmaEm3,5,1,7,5
AlmaEm3,5,1,8,7
AlmaEm3,5,1,9,7
XYL468,1,1,1,0
XYL468,1,1,2,0
XYL468,1,1,3,0
XYL468,1,1,4,0
XYL468,1,1,5,0
XYL468,1,1,6,0
XYL468,1,1,7,0
XYL468,1,1,8,0
XYL468,1,1,9,0
XYL468,2,1,1,0
XYL468,2,1,2,0
XYL468,2,1,3,0
XYL468,2,1,4,0
XYL468,2,1,5,0
XYL468,2,1,6,0
XYL468,2,1,7,0
XYL468,2,1,8,0
XYL468,2,1,9,0
XYL468,3,1,1,0
XYL468,3,1,2,0
XYL468,3,1,3,0
XYL468,3,1,4,1
XYL468,3,1,5,0
XYL468,3,1,6,0
XYL468,3,1,7,1
XYL468,3,1,8,1
XYL468,3,1,9,1
XYL468,4,1,1,0
XYL468,4,1,2,0
XYL468,4,1,3,0
XYL468,4,1,4,0
XYL468,4,1,5,0
XYL468,4,1,6,0
XYL468,4,1,7,1
XYL468,4,1,8,0
XYL468,4,1,9,0
XYL468,5,1,1,0
XYL468,5,1,2,0
XYL468,5,1,3,0
XYL468,5,1,4,1
XYL468,5,1,5,1
XYL468,5,1,6,0
XYL468,5,1,7,0
XYL468,5,1,8,0
XYL468,5,1,9,0
XYL468,6,1,1,0
XYL468,6,1,2,0
XYL468,6,1,3,0
XYL468,6,1,4,0
XYL468,6,1,5,0
XYL468,6,1,6,0
XYL468,6,1,7,0
XYL468,6,1,8,0
XYL468,6,1,9,0
XYL468,7,1,1,0
XYL468,7,1,2,0
XYL468,7,1,3,0
XYL468,7,1,4,0
XYL468,7,1,5,0
XYL468,7,1,6,0
XYL468,7,1,7,1
XYL468,7,1,8,0
XYL468,7,1,9,0
XYL2014,1,1,1,0
XYL2014,1,1,2,0
XYL2014,1,1,3,0
XYL2014,1,1,4,0
XYL2014,1,1,5,0
XYL2014,1,1,6,0
XYL2014,1,1,7,0
XYL2014,1,1,8,1
XYL2014,1,1,9,1
XYL2014,2,1,1,0
XYL2014,2,1,2,0
XYL2014,2,1,3,0
XYL2014,2,1,4,0
XYL2014,2,1,5,0
XYL2014,2,1,6,0
XYL2014,2,1,7,0
XYL2014,2,1,8,1
XYL2014,2,1,9,1
XYL2014,3,1,1,0
XYL2014,3,1,2,0
XYL2014,3,1,3,0
XYL2014,3,1,4,2
XYL2014,3,1,5,3
XYL2014,3,1,6,3
XYL2014,3,1,7,3
XYL2014,3,1,8,4
XYL2014,3,1,9,5
XYL2014,4,1,1,0
XYL2014,4,1,2,0
XYL2014,4,1,3,0
XYL2014,4,1,4,1
XYL2014,4,1,5,3
XYL2014,4,1,6,3
XYL2014,4,1,7,3
XYL2014,4,1,8,4
XYL2014,4,1,9,4
XYL2014,5,1,1,0
XYL2014,5,1,2,0
XYL2014,5,1,3,0
XYL2014,5,1,4,0
XYL2014,5,1,5,1
XYL2014,5,1,6,1
XYL2014,5,1,7,1
XYL2014,5,1,8,3
XYL2014,5,1,9,4
XYL2014,6,1,1,0
XYL2014,6,1,2,0
XYL2014,6,1,3,1
XYL2014,6,1,4,1
XYL2014,6,1,5,2
XYL2014,6,1,6,0
XYL2014,6,1,7,2
XYL2014,6,1,8,3
XYL2014,6,1,9,3
XYL2014,7,1,1,0
XYL2014,7,1,2,0
XYL2014,7,1,3,1
XYL2014,7,1,4,2
XYL2014,7,1,5,3
XYL2014,7,1,6,3
XYL2014,7,1,7,3
XYL2014,7,1,8,4
XYL2014,7,1,9,4
TOS4,1,1,1,0
TOS4,1,1,2,0
TOS4,1,1,3,0
TOS4,1,1,4,0
TOS4,1,1,5,0
TOS4,1,1,6,0
TOS4,1,1,7,0
TOS4,1,1,8,0
TOS4,1,1,9,0
TOS4,2,1,1,0
TOS4,2,1,2,0
TOS4,2,1,3,0
TOS4,2,1,4,1
TOS4,2,1,5,3
TOS4,2,1,6,3
TOS4,2,1,7,3
TOS4,2,1,8,2
TOS4,2,1,9,2
TOS4,3,1,1,0
TOS4,3,1,2,0
TOS4,3,1,3,0
TOS4,3,1,4,0
TOS4,3,1,5,0
TOS4,3,1,6,0
TOS4,3,1,7,0
TOS4,3,1,8,0
TOS4,3,1,9,0
TOS4,4,1,1,0
TOS4,4,1,2,0
TOS4,4,1,3,0
TOS4,4,1,4,0
TOS4,4,1,5,2
TOS4,4,1,6,2
TOS4,4,1,7,2
TOS4,4,1,8,2
TOS4,4,1,9,2
TOS4,5,1,1,0
TOS4,5,1,2,0
TOS4,5,1,3,0
TOS4,5,1,4,0
TOS4,5,1,5,0
TOS4,5,1,6,0
TOS4,5,1,7,0
TOS4,5,1,8,0
TOS4,5,1,9,0
TOS4,6,1,1,0
TOS4,6,1,2,0
TOS4,6,1,3,0
TOS4,6,1,4,0
TOS4,6,1,5,2
TOS4,6,1,6,0
TOS4,6,1,7,3
TOS4,6,1,8,3
TOS4,6,1,9,3
TOS4,7,1,1,0
TOS4,7,1,2,0
TOS4,7,1,3,0
TOS4,7,1,4,0
TOS4,7,1,5,0
TOS4,7,1,6,0
TOS4,7,1,7,0
TOS4,7,1,8,0
TOS4,7,1,9,0
IVIA5387.2,1,1,1,0
IVIA5387.2,1,1,2,1
IVIA5387.2,1,1,3,1
IVIA5387.2,1,1,4,1
IVIA5387.2,1,1,5,2
IVIA5387.2,1,1,6,2
IVIA5387.2,1,1,7,3
IVIA5387.2,1,1,8,3
IVIA5387.2,1,1,9,4
IVIA5387.2,2,1,1,0
IVIA5387.2,2,1,2,1
IVIA5387.2,2,1,3,1
IVIA5387.2,2,1,4,1
IVIA5387.2,2,1,5,3
IVIA5387.2,2,1,6,3
IVIA5387.2,2,1,7,3
IVIA5387.2,2,1,8,4
IVIA5387.2,2,1,9,5
IVIA5387.2,3,1,1,1
IVIA5387.2,3,1,2,1
IVIA5387.2,3,1,3,0
IVIA5387.2,3,1,4,0
IVIA5387.2,3,1,5,2
IVIA5387.2,3,1,6,2
IVIA5387.2,3,1,7,3
IVIA5387.2,3,1,8,3
IVIA5387.2,3,1,9,3
IVIA5387.2,4,1,1,0
IVIA5387.2,4,1,2,0
IVIA5387.2,4,1,3,0
IVIA5387.2,4,1,4,0
IVIA5387.2,4,1,5,2
IVIA5387.2,4,1,6,2
IVIA5387.2,4,1,7,3
IVIA5387.2,4,1,8,3
IVIA5387.2,4,1,9,4
IVIA5387.2,5,1,1,0
IVIA5387.2,5,1,2,0
IVIA5387.2,5,1,3,0
IVIA5387.2,5,1,4,0
IVIA5387.2,5,1,5,2
IVIA5387.2,5,1,6,2
IVIA5387.2,5,1,7,2
IVIA5387.2,5,1,8,3
IVIA5387.2,5,1,9,4
IVIA5387.2,6,1,1,0
IVIA5387.2,6,1,2,0
IVIA5387.2,6,1,3,0
IVIA5387.2,6,1,4,0
IVIA5387.2,6,1,5,3
IVIA5387.2,6,1,6,3
IVIA5387.2,6,1,7,3
IVIA5387.2,6,1,8,3
IVIA5387.2,6,1,9,4
IVIA5387.2,7,1,1,0
IVIA5387.2,7,1,2,1
IVIA5387.2,7,1,3,1
IVIA5387.2,7,1,4,1
IVIA5387.2,7,1,5,0
IVIA5387.2,7,1,6,1
IVIA5387.2,7,1,7,1
IVIA5387.2,7,1,8,2
IVIA5387.2,7,1,9,3
CIST-18,1,1,1,0
CIST-18,1,1,2,0
CIST-18,1,1,3,0
CIST-18,1,1,4,0
CIST-18,1,1,5,0
CIST-18,1,1,6,0
CIST-18,1,1,7,0
CIST-18,1,1,8,0
CIST-18,1,1,9,0
CIST-18,2,1,1,0
CIST-18,2,1,2,0
CIST-18,2,1,3,0
CIST-18,2,1,4,0
CIST-18,2,1,5,0
CIST-18,2,1,6,0
CIST-18,2,1,7,0
CIST-18,2,1,8,0
CIST-18,2,1,9,0
CIST-18,3,1,1,0
CIST-18,3,1,2,1
CIST-18,3,1,3,1
CIST-18,3,1,4,0
CIST-18,3,1,5,0
CIST-18,3,1,6,0
CIST-18,3,1,7,0
CIST-18,3,1,8,0
CIST-18,3,1,9,0
CIST-18,4,1,1,0
CIST-18,4,1,2,0
CIST-18,4,1,3,0
CIST-18,4,1,4,1
CIST-18,4,1,5,1
CIST-18,4,1,6,1
CIST-18,4,1,7,1
CIST-18,4,1,8,1
CIST-18,4,1,9,1
CIST-18,5,1,1,0
CIST-18,5,1,2,0
CIST-18,5,1,3,0
CIST-18,5,1,4,0
CIST-18,5,1,5,0
CIST-18,5,1,6,0
CIST-18,5,1,7,1
CIST-18,5,1,8,1
CIST-18,5,1,9,1
CIST-18,6,1,1,0
CIST-18,6,1,2,0
CIST-18,6,1,3,0
CIST-18,6,1,4,1
CIST-18,6,1,5,1
CIST-18,6,1,6,2
CIST-18,6,1,7,0
CIST-18,6,1,8,1
CIST-18,6,1,9,1
CIST-18,7,1,1,0
CIST-18,7,1,2,0
CIST-18,7,1,3,0
CIST-18,7,1,4,0
CIST-18,7,1,5,0
CIST-18,7,1,6,0
CIST-18,7,1,7,0
CIST-18,7,1,8,0
CIST-18,7,1,9,0
IVIA11529,1,1,1,0
IVIA11529,1,1,2,0
IVIA11529,1,1,3,2
IVIA11529,1,1,4,4
IVIA11529,1,1,5,6
IVIA11529,1,1,6,5
IVIA11529,1,1,7,5
IVIA11529,1,1,8,6
IVIA11529,1,1,9,7
IVIA11529,2,1,1,1
IVIA11529,2,1,2,3
IVIA11529,2,1,3,3
IVIA11529,2,1,4,5
IVIA11529,2,1,5,5
IVIA11529,2,1,6,6
IVIA11529,2,1,7,5
IVIA11529,2,1,8,6
IVIA11529,2,1,9,7
IVIA11529,3,1,1,0
IVIA11529,3,1,2,1
IVIA11529,3,1,3,2
IVIA11529,3,1,4,5
IVIA11529,3,1,5,6
IVIA11529,3,1,6,5
IVIA11529,3,1,7,6
IVIA11529,3,1,8,6
IVIA11529,3,1,9,7
IVIA11529,4,1,1,0
IVIA11529,4,1,2,0
IVIA11529,4,1,3,0
IVIA11529,4,1,4,0
IVIA11529,4,1,5,2
IVIA11529,4,1,6,2
IVIA11529,4,1,7,2
IVIA11529,4,1,8,3
IVIA11529,4,1,9,4
IVIA11529,5,1,1,0
IVIA11529,5,1,2,1
IVIA11529,5,1,3,2
IVIA11529,5,1,4,3
IVIA11529,5,1,5,4
IVIA11529,5,1,6,3
IVIA11529,5,1,7,3
IVIA11529,5,1,8,4
IVIA11529,5,1,9,6
IVIA11529,6,1,1,0
IVIA11529,6,1,2,1
IVIA11529,6,1,3,1
IVIA11529,6,1,4,2
IVIA11529,6,1,5,2
IVIA11529,6,1,6,3
IVIA11529,6,1,7,4
IVIA11529,6,1,8,4
IVIA11529,6,1,9,4
IVIA11529,7,1,1,0
IVIA11529,7,1,2,1
IVIA11529,7,1,3,2
IVIA11529,7,1,4,3
IVIA11529,7,1,5,4
IVIA11529,7,1,6,4
IVIA11529,7,1,7,4
IVIA11529,7,1,8,5
IVIA11529,7,1,9,6
CFBP8356,1,1,1,0
CFBP8356,1,1,2,0
CFBP8356,1,1,3,0
CFBP8356,1,1,4,0
CFBP8356,1,1,5,2
CFBP8356,1,1,6,2
CFBP8356,1,1,7,2
CFBP8356,1,1,8,2
CFBP8356,1,1,9,2
CFBP8356,2,1,1,0
CFBP8356,2,1,2,0
CFBP8356,2,1,3,0
CFBP8356,2,1,4,0
CFBP8356,2,1,5,0
CFBP8356,2,1,6,0
CFBP8356,2,1,7,0
CFBP8356,2,1,8,0
CFBP8356,2,1,9,0
CFBP8356,3,1,1,0
CFBP8356,3,1,2,0
CFBP8356,3,1,3,1
CFBP8356,3,1,4,1
CFBP8356,3,1,5,3
CFBP8356,3,1,6,3
CFBP8356,3,1,7,3
CFBP8356,3,1,8,3
CFBP8356,3,1,9,3
CFBP8356,4,1,1,0
CFBP8356,4,1,2,1
CFBP8356,4,1,3,2
CFBP8356,4,1,4,2
CFBP8356,4,1,5,2
CFBP8356,4,1,6,2
CFBP8356,4,1,7,2
CFBP8356,4,1,8,2
CFBP8356,4,1,9,2
CFBP8356,5,1,1,0
CFBP8356,5,1,2,0
CFBP8356,5,1,3,1
CFBP8356,5,1,4,0
CFBP8356,5,1,5,0
CFBP8356,5,1,6,0
CFBP8356,5,1,7,0
CFBP8356,5,1,8,0
CFBP8356,5,1,9,0
CFBP8356,6,1,1,0
CFBP8356,6,1,2,0
CFBP8356,6,1,3,0
CFBP8356,6,1,4,0
CFBP8356,6,1,5,0
CFBP8356,6,1,6,0
CFBP8356,6,1,7,0
CFBP8356,6,1,8,0
CFBP8356,6,1,9,0
CFBP8356,7,1,1,0
CFBP8356,7,1,2,1
CFBP8356,7,1,3,1
CFBP8356,7,1,4,1
CFBP8356,7,1,5,1
CFBP8356,7,1,6,2
CFBP8356,7,1,7,2
CFBP8356,7,1,8,2
CFBP8356,7,1,9,2
CFBP8073,1,1,1,0
CFBP8073,1,1,2,0
CFBP8073,1,1,3,1
CFBP8073,1,1,4,0
CFBP8073,1,1,5,2
CFBP8073,1,1,6,2
CFBP8073,1,1,7,2
CFBP8073,1,1,8,4
CFBP8073,1,1,9,4
CFBP8073,2,1,1,1
CFBP8073,2,1,2,3
CFBP8073,2,1,3,2
CFBP8073,2,1,4,5
CFBP8073,2,1,5,5
CFBP8073,2,1,6,5
CFBP8073,2,1,7,5
CFBP8073,2,1,8,5
CFBP8073,2,1,9,7
CFBP8073,3,1,1,1
CFBP8073,3,1,2,2
CFBP8073,3,1,3,2
CFBP8073,3,1,4,5
CFBP8073,3,1,5,6
CFBP8073,3,1,6,6
CFBP8073,3,1,7,6
CFBP8073,3,1,8,6
CFBP8073,3,1,9,7
CFBP8073,4,1,1,0
CFBP8073,4,1,2,2
CFBP8073,4,1,3,2
CFBP8073,4,1,4,5
CFBP8073,4,1,5,6
CFBP8073,4,1,6,5
CFBP8073,4,1,7,5
CFBP8073,4,1,8,7
CFBP8073,4,1,9,7
CFBP8073,5,1,1,0
CFBP8073,5,1,2,1
CFBP8073,5,1,3,1
CFBP8073,5,1,4,1
CFBP8073,5,1,5,2
CFBP8073,5,1,6,2
CFBP8073,5,1,7,2
CFBP8073,5,1,8,4
CFBP8073,5,1,9,5
CFBP8073,6,1,1,0
CFBP8073,6,1,2,2
CFBP8073,6,1,3,2
CFBP8073,6,1,4,4
CFBP8073,6,1,5,5
CFBP8073,6,1,6,4
CFBP8073,6,1,7,5
CFBP8073,6,1,8,6
CFBP8073,6,1,9,6
CFBP8073,7,1,1,1
CFBP8073,7,1,2,2
CFBP8073,7,1,3,2
CFBP8073,7,1,4,3
CFBP8073,7,1,5,5
CFBP8073,7,1,6,4
CFBP8073,7,1,7,4
CFBP8073,7,1,8,6
CFBP8073,7,1,9,7
IVIA5770,1,1,1,0
IVIA5770,1,1,2,0
IVIA5770,1,1,3,0
IVIA5770,1,1,4,4
IVIA5770,1,1,5,5
IVIA5770,1,1,6,4
IVIA5770,1,1,7,4
IVIA5770,1,1,8,5
IVIA5770,1,1,9,6
IVIA5770,2,1,1,0
IVIA5770,2,1,2,0
IVIA5770,2,1,3,0
IVIA5770,2,1,4,2
IVIA5770,2,1,5,4
IVIA5770,2,1,6,4
IVIA5770,2,1,7,4
IVIA5770,2,1,8,5
IVIA5770,2,1,9,5
IVIA5770,3,1,1,0
IVIA5770,3,1,2,0
IVIA5770,3,1,3,0
IVIA5770,3,1,4,1
IVIA5770,3,1,5,3
IVIA5770,3,1,6,3
IVIA5770,3,1,7,3
IVIA5770,3,1,8,3
IVIA5770,3,1,9,5
IVIA5770,4,1,1,0
IVIA5770,4,1,2,0
IVIA5770,4,1,3,0
IVIA5770,4,1,4,0
IVIA5770,4,1,5,1
IVIA5770,4,1,6,2
IVIA5770,4,1,7,3
IVIA5770,4,1,8,4
IVIA5770,4,1,9,5
IVIA5770,5,1,1,0
IVIA5770,5,1,2,1
IVIA5770,5,1,3,1
IVIA5770,5,1,4,3
IVIA5770,5,1,5,3
IVIA5770,5,1,6,4
IVIA5770,5,1,7,4
IVIA5770,5,1,8,5
IVIA5770,5,1,9,5
IVIA5770,6,1,1,1
IVIA5770,6,1,2,3
IVIA5770,6,1,3,3
IVIA5770,6,1,4,4
IVIA5770,6,1,5,4
IVIA5770,6,1,6,5
IVIA5770,6,1,7,6
IVIA5770,6,1,8,6
IVIA5770,6,1,9,6
IVIA5770,7,1,1,0
IVIA5770,7,1,2,1
IVIA5770,7,1,3,1
IVIA5770,7,1,4,3
IVIA5770,7,1,5,4
IVIA5770,7,1,6,4
IVIA5770,7,1,7,4
IVIA5770,7,1,8,5
IVIA5770,7,1,9,6
IVIA5235,1,1,1,0
IVIA5235,1,1,2,1
IVIA5235,1,1,3,0
IVIA5235,1,1,4,0
IVIA5235,1,1,5,0
IVIA5235,1,1,6,0
IVIA5235,1,1,7,0
IVIA5235,1,1,8,0
IVIA5235,1,1,9,0
IVIA5235,2,1,1,0
IVIA5235,2,1,2,1
IVIA5235,2,1,3,1
IVIA5235,2,1,4,1
IVIA5235,2,1,5,1
IVIA5235,2,1,6,2
IVIA5235,2,1,7,2
IVIA5235,2,1,8,2
IVIA5235,2,1,9,2
IVIA5235,3,1,1,0
IVIA5235,3,1,2,0
IVIA5235,3,1,3,0
IVIA5235,3,1,4,0
IVIA5235,3,1,5,0
IVIA5235,3,1,6,1
IVIA5235,3,1,7,1
IVIA5235,3,1,8,1
IVIA5235,3,1,9,1
IVIA5235,4,1,1,0
IVIA5235,4,1,2,0
IVIA5235,4,1,3,0
IVIA5235,4,1,4,0
IVIA5235,4,1,5,0
IVIA5235,4,1,6,0
IVIA5235,4,1,7,0
IVIA5235,4,1,8,0
IVIA5235,4,1,9,0
IVIA5235,5,1,1,0
IVIA5235,5,1,2,0
IVIA5235,5,1,3,0
IVIA5235,5,1,4,0
IVIA5235,5,1,5,0
IVIA5235,5,1,6,0
IVIA5235,5,1,7,0
IVIA5235,5,1,8,1
IVIA5235,5,1,9,1
IVIA5235,6,1,1,0
IVIA5235,6,1,2,0
IVIA5235,6,1,3,0
IVIA5235,6,1,4,0
IVIA5235,6,1,5,0
IVIA5235,6,1,6,0
IVIA5235,6,1,7,0
IVIA5235,6,1,8,0
IVIA5235,6,1,9,0
IVIA5235,7,1,1,0
IVIA5235,7,1,2,0
IVIA5235,7,1,3,0
IVIA5235,7,1,4,0
IVIA5235,7,1,5,1
IVIA5235,7,1,6,1
IVIA5235,7,1,7,1
IVIA5235,7,1,8,1
IVIA5235,7,1,9,1
B3SN17-2,1,1,1,0
B3SN17-2,1,1,2,1
