Strain,PlantNumber,Branch,Week,Score
B3SN17-2,1,1,3,1
B3SN17-2,1,1,4,2
B3SN17-2,1,1,5,3
B3SN17-2,1,1,6,4
B3SN17-2,1,1,7,4
B3SN17-2,1,1,8,4
B3SN17-2,1,1,9,4
B3SN17-2,2,1,1,0
B3SN17-2,2,1,2,0
B3SN17-2,2,1,3,0
B3SN17-2,2,1,4,2
B3SN17-2,2,1,5,3
B3SN17-2,2,1,6,4
B3SN17-2,2,1,7,4
B3SN17-2,2,1,8,5
B3SN17-2,2,1,9,6
B3SN17-2,3,1,1,1
B3SN17-2,3,1,2,2
B3SN17-2,3,1,3,3
B3SN17-2,3,1,4,3
B3SN17-2,3,1,5,5
B3SN17-2,3,1,6,5
B3SN17-2,3,1,7,2
B3SN17-2,3,1,8,6
B3SN17-2,3,1,9,6
B3SN17-2,4,1,1,0
B3SN17-2,4,1,2,2
B3SN17-2,4,1,3,2
B3SN17-2,4,1,4,3
B3SN17-2,4,1,5,5
B3SN17-2,4,1,6,4
B3SN17-2,4,1,7,4
B3SN17-2,4,1,8,6
B3SN17-2,4,1,9,6
B3SN17-2,5,1,1,0
B3SN17-2,5,1,2,1
B3SN17-2,5,1,3,2
B3SN17-2,5,1,4,2
B3SN17-2,5,1,5,3
B3SN17-2,5,1,6,4
B3SN17-2,5,1,7,3
B3SN17-2,5,1,8,4
B3SN17-2,5,1,9,4
B3SN17-2,6,1,1,0
B3SN17-2,6,1,2,1
B3SN17-2,6,1,3,2
B3SN17-2,6,1,4,3
B3SN17-2,6,1,5,5
B3SN17-2,6,1,6,5
B3SN17-2,6,1,7,4
B3SN17-2,6,1,8,6
B3SN17-2,6,1,9,6
B3SN17-2,7,1,1,0
B3SN17-2,7,1,2,2
B3SN17-2,7,1,3,3
B3SN17-2,7,1,4,4
B3SN17-2,7,1,5,5
B3SN17-2,7,1,6,5
B3SN17-2,7,1,7,5
B3SN17-2,7,1,8,6
B3SN17-2,7,1,9,7
IVIA6629,1,1,1,0
IVIA6629,1,1,2,0
IVIA6629,1,1,3,0
IVIA6629,1,1,4,0
IVIA6629,1,1,5,1
IVIA6629,1,1,6,1
IVIA6629,1,1,7,1
IVIA6629,1,1,8,3
IVIA6629,1,1,9,3
IVIA6629,2,1,1,0
IVIA6629,2,1,2,0
IVIA6629,2,1,3,0
IVIA6629,2,1,4,0
IVIA6629,2,1,5,0
IVIA6629,2,1,6,0
IVIA6629,2,1,7,0
IVIA6629,2,1,8,0
IVIA6629,2,1,9,0
IVIA6629,3,1,1,0
IVIA6629,3,1,2,0
IVIA6629,3,1,3,0
IVIA6629,3,1,4,0
IVIA6629,3,1,5,0
IVIA6629,3,1,6,0
IVIA6629,3,1,7,0
IVIA6629,3,1,8,0
IVIA6629,3,1,9,0
IVIA6629,4,1,1,0
IVIA6629,4,1,2,0
IVIA6629,4,1,3,0
IVIA6629,4,1,4,0
IVIA6629,4,1,5,0
IVIA6629,4,1,6,0
IVIA6629,4,1,7,0
IVIA6629,4,1,8,0
IVIA6629,4,1,9,0
IVIA6629,5,1,1,0
IVIA6629,5,1,2,0
IVIA6629,5,1,3,0
IVIA6629,5,1,4,0
IVIA6629,5,1,5,0
IVIA6629,5,1,6,2
IVIA6629,5,1,7,0
IVIA6629,5,1,8,0
IVIA6629,5,1,9,0
IVIA6629,6,1,1,0
IVIA6629,6,1,2,0
IVIA6629,6,1,3,0
IVIA6629,6,1,4,0
IVIA6629,6,1,5,2
IVIA6629,6,1,6,2
IVIA6629,6,1,7,2
IVIA6629,6,1,8,2
IVIA6629,6,1,9,2
IVIA6629,7,1,1,0
IVIA6629,7,1,2,0
IVIA6629,7,1,3,0
IVIA6629,7,1,4,1
IVIA6629,7,1,5,1
IVIA6629,7,1,6,0
IVIA6629,7,1,7,0
IVIA6629,7,1,8,2
IVIA6629,7,1,9,2
XYL1966,1,1,1,0
XYL1966,1,1,2,0
XYL1966,1,1,3,0
XYL1966,1,1,4,0
XYL1966,1,1,5,3
XYL1966,1,1,6,4
XYL1966,1,1,7,3
XYL1966,1,1,8,4
XYL1966,1,1,9,5
XYL1966,2,1,1,0
XYL1966,2,1,2,1
XYL1966,2,1,3,2
XYL1966,2,1,4,4
XYL1966,2,1,5,4
XYL1966,2,1,6,4
XYL1966,2,1,7,4
XYL1966,2,1,8,6
XYL1966,2,1,9,7
XYL1966,3,1,1,0
XYL1966,3,1,2,1
XYL1966,3,1,3,2
XYL1966,3,1,4,5
XYL1966,3,1,5,5
XYL1966,3,1,6,5
XYL1966,3,1,7,5
XYL1966,3,1,8,5
XYL1966,3,1,9,7
XYL1966,4,1,1,0
XYL1966,4,1,2,0
XYL1966,4,1,3,0
XYL1966,4,1,4,1
XYL1966,4,1,5,3
XYL1966,4,1,6,3
XYL1966,4,1,7,3
XYL1966,4,1,8,5
XYL1966,4,1,9,5
XYL1966,5,1,1,1
XYL1966,5,1,2,1
XYL1966,5,1,3,1
XYL1966,5,1,4,4
XYL1966,5,1,5,4
XYL1966,5,1,6,5
XYL1966,5,1,7,6
XYL1966,5,1,8,7
XYL1966,5,1,9,7
XYL1966,6,1,1,0
XYL1966,6,1,2,0
XYL1966,6,1,3,0
XYL1966,6,1,4,0
XYL1966,6,1,5,1
XYL1966,6,1,6,1
XYL1966,6,1,7,1
XYL1966,6,1,8,3
XYL1966,6,1,9,3
XYL1966,7,1,1,0
XYL1966,7,1,2,0
XYL1966,7,1,3,0
XYL1966,7,1,4,3
XYL1966,7,1,5,4
XYL1966,7,1,6,3
XYL1966,7,1,7,4
XYL1966,7,1,8,4
XYL1966,7,1,9,5
CO33,1,1,1,0
CO33,1,1,2,1
CO33,1,1,3,1
CO33,1,1,4,1
CO33,1,1,5,1
CO33,1,1,6,1
CO33,1,1,7,1
CO33,1,1,8,2
CO33,1,1,9,2
CO33,2,1,1,0
CO33,2,1,2,0
CO33,2,1,3,1
CO33,2,1,4,2
CO33,2,1,5,2
CO33,2,1,6,2
CO33,2,1,7,2
CO33,2,1,8,2
CO33,2,1,9,3
CO33,3,1,1,0
CO33,3,1,2,0
CO33,3,1,3,0
CO33,3,1,4,1
CO33,3,1,5,2
CO33,3,1,6,2
CO33,3,1,7,2
CO33,3,1,8,2
CO33,3,1,9,2
CO33,4,1,1,0
CO33,4,1,2,0
CO33,4,1,3,1
CO33,4,1,4,1
CO33,4,1,5,0
CO33,4,1,6,2
CO33,4,1,7,2
CO33,4,1,8,3
CO33,4,1,9,3
CO33,5,1,1,0
CO33,5,1,2,0
CO33,5,1,3,1
CO33,5,1,4,1
CO33,5,1,5,2
CO33,5,1,6,2
CO33,5,1,7,2
CO33,5,1,8,2
CO33,5,1,9,3
CO33,6,1,1,0
CO33,6,1,2,0
CO33,6,1,3,1
CO33,6,1,4,1
CO33,6,1,5,1
CO33,6,1,6,1
CO33,6,1,7,1
CO33,6,1,8,1
CO33,6,1,9,1
CO33,7,1,1,0
CO33,7,1,2,0
CO33,7,1,3,1
CO33,7,1,4,1
CO33,7,1,5,1
CO33,7,1,6,1
CO33,7,1,7,1
CO33,7,1,8,1
CO33,7,1,9,1
AlmaReb1,1,1,1,0
AlmaReb1,1,1,2,0
AlmaReb1,1,1,3,0
AlmaReb1,1,1,4,0
AlmaReb1,1,1,5,0
AlmaReb1,1,1,6,0
AlmaReb1,1,1,7,0
AlmaReb1,1,1,8,1
AlmaReb1,1,1,9,1
AlmaReb1,2,1,1,0
AlmaReb1,2,1,2,0
AlmaReb1,2,1,3,0
AlmaReb1,2,1,4,0
AlmaReb1,2,1,5,0
AlmaReb1,2,1,6,0
AlmaReb1,2,1,7,0
AlmaReb1,2,1,8,0
AlmaReb1,2,1,9,1
AlmaReb1,3,1,1,0
AlmaReb1,3,1,2,0
AlmaReb1,3,1,3,1
AlmaReb1,3,1,4,1
AlmaReb1,3,1,5,1
AlmaReb1,3,1,6,0
AlmaReb1,3,1,7,0
AlmaReb1,3,1,8,1
AlmaReb1,3,1,9,2
AlmaReb1,4,1,1,0
AlmaReb1,4,1,2,0
AlmaReb1,4,1,3,0
AlmaReb1,4,1,4,0
AlmaReb1,4,1,5,0
AlmaReb1,4,1,6,0
AlmaReb1,4,1,7,1
AlmaReb1,4,1,8,1
AlmaReb1,4,1,9,1
Med1,1,1,1,0
Med1,1,1,2,0
Med1,1,1,3,1
Med1,1,1,4,0
Med1,1,1,5,0
Med1,1,1,6,0
Med1,1,1,7,0
Med1,1,1,8,0
Med1,1,1,9,0
Med1,2,1,1,0
Med1,2,1,2,0
Med1,2,1,3,1
Med1,2,1,4,1
Med1,2,1,5,1
Med1,2,1,6,1
Med1,2,1,7,1
Med1,2,1,8,1
Med1,2,1,9,1
Med1,3,1,1,0
Med1,3,1,2,0
Med1,3,1,3,0
Med1,3,1,4,1
Med1,3,1,5,1
Med1,3,1,6,1
Med1,3,1,7,1
Med1,3,1,8,1
Med1,3,1,9,1
Med1,4,1,1,0
Med1,4,1,2,0
Med1,4,1,3,0
Med1,4,1,4,1
Med1,4,1,5,1
Med1,4,1,6,1
Med1,4,1,7,2
Med1,4,1,8,2
Med1,4,1,9,2
Med1,5,1,1,0
Med1,5,1,2,0
Med1,5,1,3,1
Med1,5,1,4,1
Med1,5,1,5,1
Med1,5,1,6,1
Med1,5,1,7,1
Med1,5,1,8,1
Med1,5,1,9,1
AlmaReb3,1,1,1,0
AlmaReb3,1,1,2,1
AlmaReb3,1,1,3,2
AlmaReb3,1,1,4,3
AlmaReb3,1,1,5,3
AlmaReb3,1,1,6,4
AlmaReb3,1,1,7,4
AlmaReb3,1,1,8,6
AlmaReb3,1,1,9,6
AlmaReb3,2,1,1,0
AlmaReb3,2,1,2,0
AlmaReb3,2,1,3,1
AlmaReb3,2,1,4,4
AlmaReb3,2,1,5,3
AlmaReb3,2,1,6,4
AlmaReb3,2,1,7,4
AlmaReb3,2,1,8,7
AlmaReb3,2,1,9,7
AlmaReb3,3,1,1,1
AlmaReb3,3,1,2,1
AlmaReb3,3,1,3,1
AlmaReb3,3,1,4,4
AlmaReb3,3,1,5,5
AlmaReb3,3,1,6,4
AlmaReb3,3,1,7,5
AlmaReb3,3,1,8,7
AlmaReb3,3,1,9,7
AlmaReb3,4,1,1,0
AlmaReb3,4,1,2,1
AlmaReb3,4,1,3,2
AlmaReb3,4,1,4,4
AlmaReb3,4,1,5,5
AlmaReb3,4,1,6,5
AlmaReb3,4,1,7,4
AlmaReb3,4,1,8,6
AlmaReb3,4,1,9,6
AlmaReb3,5,1,1,1
AlmaReb3,5,1,2,1
AlmaReb3,5,1,3,1
AlmaReb3,5,1,4,4
AlmaReb3,5,1,5,5
AlmaReb3,5,1,6,4
AlmaReb3,5,1,7,5
AlmaReb3,5,1,8,7
AlmaReb3,5,1,9,7
PBS,1,2,1,0
PBS,1,2,2,0
PBS,1,2,3,0
PBS,1,2,4,0
PBS,1,2,5,0
PBS,1,2,6,0
PBS,1,2,7,0
PBS,1,2,8,0
PBS,1,2,9,0
PBS,2,2,1,0
PBS,2,2,2,0
PBS,2,2,3,0
PBS,2,2,4,0
PBS,2,2,5,0
PBS,2,2,6,0
PBS,2,2,7,0
PBS,2,2,8,0
PBS,2,2,9,0
PBS,3,2,1,0
PBS,3,2,2,0
PBS,3,2,3,0
PBS,3,2,4,0
PBS,3,2,5,0
PBS,3,2,6,0
PBS,3,2,7,0
PBS,3,2,8,0
PBS,3,2,9,0
PBS,4,2,1,0
PBS,4,2,2,0
PBS,4,2,3,0
PBS,4,2,4,0
PBS,4,2,5,0
PBS,4,2,6,0
PBS,4,2,7,0
PBS,4,2,8,0
PBS,4,2,9,0
PBS,5,2,1,0
PBS,5,2,2,0
PBS,5,2,3,0
PBS,5,2,4,0
PBS,5,2,5,0
PBS,5,2,6,0
PBS,5,2,7,0
PBS,5,2,8,0
PBS,5,2,9,0
AlmaEm3,1,2,1,1
AlmaEm3,1,2,2,3
AlmaEm3,1,2,3,4
AlmaEm3,1,2,4,5
AlmaEm3,1,2,5,6
AlmaEm3,1,2,6,6
AlmaEm3,1,2,7,6
AlmaEm3,1,2,8,7
AlmaEm3,1,2,9,7
AlmaEm3,2,2,1,1
AlmaEm3,2,2,2,3
AlmaEm3,2,2,3,3
AlmaEm3,2,2,4,4
AlmaEm3,2,2,5,4
AlmaEm3,2,2,6,5
AlmaEm3,2,2,7,5
AlmaEm3,2,2,8,5
AlmaEm3,2,2,9,6
AlmaEm3,3,2,1,1
AlmaEm3,3,2,2,3
AlmaEm3,3,2,3,3
AlmaEm3,3,2,4,5
AlmaEm3,3,2,5,6
AlmaEm3,3,2,6,6
AlmaEm3,3,2,7,6
AlmaEm3,3,2,8,6
AlmaEm3,3,2,9,6
AlmaEm3,4,2,1,1
AlmaEm3,4,2,2,2
AlmaEm3,4,2,3,3
AlmaEm3,4,2,4,5
AlmaEm3,4,2,5,6
AlmaEm3,4,2,6,6
AlmaEm3,4,2,7,6
AlmaEm3,4,2,8,7
AlmaEm3,4,2,9,7
AlmaEm3,5,2,1,2
AlmaEm3,5,2,2,3
AlmaEm3,5,2,3,3
AlmaEm3,5,2,4,4
AlmaEm3,5,2,5,6
AlmaEm3,5,2,6,6
AlmaEm3,5,2,7,6
AlmaEm3,5,2,8,6
AlmaEm3,5,2,9,7
XYL468,1,2,1,0
XYL468,1,2,2,0
XYL468,1,2,3,0
XYL468,1,2,4,0
XYL468,1,2,5,0
XYL468,1,2,6,0
XYL468,1,2,7,0
XYL468,1,2,8,0
XYL468,1,2,9,0
XYL468,2,2,1,0
XYL468,2,2,2,0
XYL468,2,2,3,0
XYL468,2,2,4,0
XYL468,2,2,5,0
XYL468,2,2,6,0
XYL468,2,2,7,0
XYL468,2,2,8,0
XYL468,2,2,9,0
XYL468,3,2,1,0
XYL468,3,2,2,0
XYL468,3,2,3,0
XYL468,3,2,4,0
XYL468,3,2,5,0
XYL468,3,2,6,1
XYL468,3,2,7,1
XYL468,3,2,8,1
XYL468,3,2,9,1
XYL468,4,2,1,0
XYL468,4,2,2,0
XYL468,4,2,3,0
XYL468,4,2,4,0
XYL468,4,2,5,0
XYL468,4,2,6,0
XYL468,4,2,7,0
XYL468,4,2,8,0
XYL468,4,2,9,0
XYL468,5,2,1,0
XYL468,5,2,2,0
XYL468,5,2,3,0
XYL468,5,2,4,0
XYL468,5,2,5,0
XYL468,5,2,6,0
XYL468,5,2,7,0
XYL468,5,2,8,0
XYL468,5,2,9,0
XYL468,6,2,1,0
XYL468,6,2,2,0
XYL468,6,2,3,0
XYL468,6,2,4,0
XYL468,6,2,5,0
XYL468,6,2,6,0
XYL468,6,2,7,0
XYL468,6,2,8,0
XYL468,6,2,9,0
XYL468,7,2,1,0
XYL468,7,2,2,0
XYL468,7,2,3,0
XYL468,7,2,4,0
XYL468,7,2,5,0
XYL468,7,2,6,0
XYL468,7,2,7,0
XYL468,7,2,8,0
XYL468,7,2,9,0
XYL2014,1,2,1,0
XYL2014,1,2,2,0
XYL2014,1,2,3,0
XYL2014,1,2,4,0
XYL2014,1,2,5,0
XYL2014,1,2,6,0
XYL2014,1,2,7,0
XYL2014,1,2,8,0
XYL2014,1,2,9,0
XYL2014,2,2,1,0
XYL2014,2,2,2,0
XYL2014,2,2,3,0
XYL2014,2,2,4,0
XYL2014,2,2,5,0
XYL2014,2,2,6,0
XYL2014,2,2,7,0
XYL2014,2,2,8,1
XYL2014,2,2,9,1
XYL2014,3,2,1,0
XYL2014,3,2,2,0
XYL2014,3,2,3,0
XYL2014,3,2,4,1
XYL2014,3,2,5,3
XYL2014,3,2,6,3
XYL2014,3,2,7,3
XYL2014,3,2,8,4
XYL2014,3,2,9,4
XYL2014,4,2,1,0
XYL2014,4,2,2,0
XYL2014,4,2,3,0
XYL2014,4,2,4,1
XYL2014,4,2,5,3
XYL2014,4,2,6,3
XYL2014,4,2,7,3
XYL2014,4,2,8,3
XYL2014,4,2,9,4
XYL2014,5,2,1,0
XYL2014,5,2,2,0
XYL2014,5,2,3,0
XYL2014,5,2,4,0
XYL2014,5,2,5,0
XYL2014,5,2,6,0
XYL2014,5,2,7,0
XYL2014,5,2,8,2
XYL2014,5,2,9,3
XYL2014,6,2,1,0
XYL2014,6,2,2,0
XYL2014,6,2,3,0
XYL2014,6,2,4,0
XYL2014,6,2,5,0
XYL2014,6,2,6,1
XYL2014,6,2,7,1
XYL2014,6,2,8,1
XYL2014,6,2,9,2
XYL2014,7,2,1,0
XYL2014,7,2,2,0
XYL2014,7,2,3,0
XYL2014,7,2,4,1
XYL2014,7,2,5,3
XYL2014,7,2,6,3
XYL2014,7,2,7,3
XYL2014,7,2,8,3
XYL2014,7,2,9,3
TOS4,1,2,1,0
TOS4,1,2,2,0
TOS4,1,2,3,0
TOS4,1,2,4,0
TOS4,1,2,5,0
TOS4,1,2,6,0
TOS4,1,2,7,0
TOS4,1,2,8,0
TOS4,1,2,9,0
TOS4,2,2,1,0
TOS4,2,2,2,0
TOS4,2,2,3,0
TOS4,2,2,4,0
TOS4,2,2,5,1
TOS4,2,2,6,1
TOS4,2,2,7,1
TOS4,2,2,8,1
TOS4,2,2,9,1
TOS4,3,2,1,0
TOS4,3,2,2,0
TOS4,3,2,3,0
TOS4,3,2,4,0
TOS4,3,2,5,0
TOS4,3,2,6,0
TOS4,3,2,7,0
TOS4,3,2,8,0
TOS4,3,2,9,0
TOS4,4,2,1,0
TOS4,4,2,2,0
TOS4,4,2,3,0
TOS4,4,2,4,0
TOS4,4,2,5,0
TOS4,4,2,6,0
TOS4,4,2,7,0
TOS4,4,2,8,0
TOS4,4,2,9,0
TOS4,5,2,1,0
TOS4,5,2,2,0
TOS4,5,2,3,0
TOS4,5,2,4,0
TOS4,5,2,5,0
TOS4,5,2,6,0
TOS4,5,2,7,0
TOS4,5,2,8,0
TOS4,5,2,9,0
TOS4,6,2,1,0
TOS4,6,2,2,0
TOS4,6,2,3,0
TOS4,6,2,4,0
TOS4,6,2,5,0
TOS4,6,2,6,3
TOS4,6,2,7,0
TOS4,6,2,8,0
TOS4,6,2,9,0
TOS4,7,2,1,0
TOS4,7,2,2,0
TOS4,7,2,3,0
TOS4,7,2,4,0
TOS4,7,2,5,0
TOS4,7,2,6,0
TOS4,7,2,7,0
TOS4,7,2,8,0
TOS4,7,2,9,0
IVIA5387.2,1,2,1,0
IVIA5387.2,1,2,2,0
IVIA5387.2,1,2,3,0
IVIA5387.2,1,2,4,0
IVIA5387.2,1,2,5,1
IVIA5387.2,1,2,6,2
IVIA5387.2,1,2,7,2
IVIA5387.2,1,2,8,2
IVIA5387.2,1,2,9,3
IVIA5387.2,2,2,1,0
IVIA5387.2,2,2,2,1
IVIA5387.2,2,2,3,1
IVIA5387.2,2,2,4,1
IVIA5387.2,2,2,5,3
IVIA5387.2,2,2,6,3
IVIA5387.2,2,2,7,4
IVIA5387.2,2,2,8,4
IVIA5387.2,2,2,9,4
IVIA5387.2,3,2,1,0
IVIA5387.2,3,2,2,0
IVIA5387.2,3,2,3,0
IVIA5387.2,3,2,4,0
IVIA5387.2,3,2,5,2
IVIA5387.2,3,2,6,3
IVIA5387.2,3,2,7,2
IVIA5387.2,3,2,8,2
IVIA5387.2,3,2,9,2
IVIA5387.2,4,2,1,0
IVIA5387.2,4,2,2,0
IVIA5387.2,4,2,3,0
IVIA5387.2,4,2,4,0
IVIA5387.2,4,2,5,0
IVIA5387.2,4,2,6,0
IVIA5387.2,4,2,7,0
IVIA5387.2,4,2,8,2
IVIA5387.2,4,2,9,3
IVIA5387.2,5,2,1,0
IVIA5387.2,5,2,2,0
IVIA5387.2,5,2,3,0
IVIA5387.2,5,2,4,0
IVIA5387.2,5,2,5,2
IVIA5387.2,5,2,6,2
IVIA5387.2,5,2,7,3
IVIA5387.2,5,2,8,2
IVIA5387.2,5,2,9,3
IVIA5387.2,6,2,1,0
IVIA5387.2,6,2,2,0
IVIA5387.2,6,2,3,0
IVIA5387.2,6,2,4,0
IVIA5387.2,6,2,5,1
IVIA5387.2,6,2,6,1
IVIA5387.2,6,2,7,2
IVIA5387.2,6,2,8,2
IVIA5387.2,6,2,9,3
IVIA5387.2,7,2,1,0
IVIA5387.2,7,2,2,0
IVIA5387.2,7,2,3,0
IVIA5387.2,7,2,4,0
IVIA5387.2,7,2,5,0
IVIA5387.2,7,2,6,0
IVIA5387.2,7,2,7,0
IVIA5387.2,7,2,8,0
IVIA5387.2,7,2,9,1
CIST-18,1,2,1,0
CIST-18,1,2,2,0
CIST-18,1,2,3,0
CIST-18,1,2,4,0
CIST-18,1,2,5,0
CIST-18,1,2,6,0
CIST-18,1,2,7,0
CIST-18,1,2,8,0
CIST-18,1,2,9,0
CIST-18,2,2,1,0
CIST-18,2,2,2,0
CIST-18,2,2,3,0
CIST-18,2,2,4,0
CIST-18,2,2,5,0
CIST-18,2,2,6,0
CIST-18,2,2,7,0
CIST-18,2,2,8,0
CIST-18,2,2,9,0
CIST-18,3,2,1,0
CIST-18,3,2,2,1
CIST-18,3,2,3,0
CIST-18,3,2,4,0
CIST-18,3,2,5,0
CIST-18,3,2,6,0
CIST-18,3,2,7,0
CIST-18,3,2,8,0
CIST-18,3,2,9,0
CIST-18,4,2,1,0
CIST-18,4,2,2,0
CIST-18,4,2,3,0
CIST-18,4,2,4,1
CIST-18,4,2,5,0
CIST-18,4,2,6,0
CIST-18,4,2,7,0
CIST-18,4,2,8,0
CIST-18,4,2,9,0
CIST-18,5,2,1,0
CIST-18,5,2,2,0
